brand_name,Price,discount,image_url,Reviews_rating,Reviews_count
Xiaomi MI Répéteur (amplificateur) Wifi N300 300Mbps - Blanc,9395,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/210441/1.jpg?4460,4.1,549
Câble Réseau Ethernet Cat 6E RJ45 15m - Blanc,3800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/306002/1.jpg?8325,4.3,162
Pocket Wifi 4G/5G Universel Tous Réseaux,18563,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/485692/1.jpg?6419,3.7,41
Mini Imprimante Thermique Portative - Blanc,5500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/347862/1.jpg?5880,3.8,75
Hp Cartouche D'encre 305 - Noir,8800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/395031/1.jpg?4324,4.0,152
Canon Cartouche D'encre Canon 445 Noir + 446 Couleur,18800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/599031/1.jpg?8684,3.9,117
Canon Imprimante à réservoir G3416 - G3411 - G3410 - 3 en 1 - impressi...,79000,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/964103/1.jpg?7625,3.6,40
"Xiaomi Répéteur Amplificateur De Signal WiFi Pro WPS 300Mbps 2,4 GHz S...",9300,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/634403/1.jpg?5160,4.4,18
Canon CARTOUCHE D'ENCRE NOIR PG-445,9900,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/230151/1.jpg?2604,4.3,12
Souris Sans Fil 2.4G - Bleu,1599,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/423872/1.jpg?4107,3.4,103
Support pour ordinateurs portables en aluminium ajustable - Argent,1950,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/993013/1.jpg?4194,4.4,10
10 Inch LCD Writing Tablet Electronic Digital Drawing Board,1530,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/985203/1.jpg?4910,3.2,6
UWY Clé USB 128GB - Gris,2786,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/162403/1.jpg?2866,4.0,2
VIC ✪True 512 Go SSD Shield Disque Dur Externe Portable Haute Vitesse,11603,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/118992/1.jpg?1981,4.1,22
Clé Usb - 128Go Clé Usb,3600,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/162403/1.jpg?0115,4.2,5
Hp Imprimante HP à Réservoir Smart Tank 581 - Impression - Photocopie ...,81500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/419082/1.jpg?2984,4.1,78
"GtyGo Sac à dos de voyage antivol pour ordinateur portable, gris",4949,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/439713/1.jpg?2634,3.7,171
Support pour ordinateurs portables + Support mobile amovible - Noir,2450,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/685213/1.jpg?3539,4.0,9
Cartouche Compatible HP 85A (CE285A) - (285A) - PTH-285A 435A 436A,6800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/014841/1.jpg?9664,3.9,152
Hp Laptop 15s-fq-Intel(R) Celeron(R)N4120-4Go Ram- 512Go SSD-Ecran 15'...,172800,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/513892/1.jpg?2105,4.0,34
Présentateur De Page PPT Multifonctionnel Présentateur De Page Laser 2...,5225,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/798992/1.jpg?9994,4.3,30
"GALUIN GALUIN Répéteur Internet Sans Fil, Amplificateur De Signal WiFi...",8645,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/408422/1.jpg?3996,3.7,23
T95W2 Android 11.0 Boîte Tv Intelligente - Lecteur Multimédia 4K - Wif...,13300,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/775692/1.jpg?2163,3.9,18
"Adaptateur Vga Vers Hdmi, Full Hd 1080P--NOIR",2925,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/928013/1.jpg?3141,3.0,3
VIC ♛128 Go USB3.0 Clés USB en métal Portable Disque USB Étanche Mémoi...,2675,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/933813/1.jpg?3574,3.0,4
Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,140500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/625012/1.jpg?7511,4.1,128
JNKACLD B39 - Casque Audio Bluetooth - Blanc,3213,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/522172/1.jpg?4256,3.8,97
Lot De 100 Connecteurs Réseau RJ45 - Transparent,2450,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/114613/1.jpg?4762,4.1,14
Mini Répéteur Wifi 300Mbps - Noir,5460,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/218772/1.jpg?8425,3.5,127
