Brand_name,Price,Discount,Reviews,Image
Canon CARTOUCHE D'ENCRE NOIR PG-445,9900,5%,4.3 out of 5(12),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/230151/1.jpg?2604
Souris Sans Fil 2.4G - Bleu,1599,5%,3.4 out of 5(103),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/423872/1.jpg?4107
Support pour ordinateurs portables en aluminium ajustable - Argent,1950,5%,4.4 out of 5(10),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/993013/1.jpg?4194
10 Inch LCD Writing Tablet Electronic Digital Drawing Board,1530,5%,3.2 out of 5(6),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/985203/1.jpg?4910
UWY Clé USB 128GB - Gris,2786,5%,4 out of 5(2),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/162403/1.jpg?2866
VIC ✪True 512 Go SSD Shield Disque Dur Externe Portable Haute Vitesse,11603,5%,4.1 out of 5(22),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/118992/1.jpg?1981
Clé Usb - 128Go Clé Usb,3600,5%,4.2 out of 5(5),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/162403/1.jpg?0115
Hp Imprimante HP à Réservoir Smart Tank 581 - Impression - Photocopie ...,81500,5%,4.1 out of 5(78),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/419082/1.jpg?2984
"GtyGo Sac à dos de voyage antivol pour ordinateur portable, gris",4949,5%,3.7 out of 5(171),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/439713/1.jpg?2634
Support pour ordinateurs portables + Support mobile amovible - Noir,2450,5%,4 out of 5(9),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/685213/1.jpg?3539
Cartouche Compatible HP 85A (CE285A) - (285A) - PTH-285A 435A 436A,6800,5%,3.9 out of 5(152),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/014841/1.jpg?9664
Hp Laptop 15s-fq-Intel(R) Celeron(R)N4120-4Go Ram- 512Go SSD-Ecran 15'...,172800,5%,4 out of 5(34),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/513892/1.jpg?2105
Présentateur De Page PPT Multifonctionnel Présentateur De Page Laser 2...,5225,5%,4.3 out of 5(30),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/798992/1.jpg?9994
"GALUIN GALUIN Répéteur Internet Sans Fil, Amplificateur De Signal WiFi...",8645,5%,3.7 out of 5(23),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/408422/1.jpg?3996
T95W2 Android 11.0 Boîte Tv Intelligente - Lecteur Multimédia 4K - Wif...,13300,5%,3.9 out of 5(18),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/775692/1.jpg?2163
"Adaptateur Vga Vers Hdmi, Full Hd 1080P--NOIR",2925,5%,3 out of 5(3),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/928013/1.jpg?3141
VIC ♛128 Go USB3.0 Clés USB en métal Portable Disque USB Étanche Mémoi...,2675,5%,3 out of 5(4),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/933813/1.jpg?3574
